Bohumíra,Unzeitlichová,996583646,69007
Vendelína,Gajzlová,778990574,58605
Marek,Greenspan,302273606,67521
Xaverie,Zsgoricsková,269235752,79501
Zora,Waclawiecová,217963156,78395
Rut,Hladková,252349303,68754
Bertram,Vaklinova,786940673,28167
Xenie,Lazuková,804096211,56113
Hubert,Suchodolskyj,327552019,54947
Nevena,Kikciová,913617264,53304
Kateřina,Kejdová,553213196,15300
Ctirad,Hansmann,858111209,39172
Gilbert,Gramada,149576153,69199
Želislav,Sokolt,982511910,69667
Gilbert,Sajbert,626765970,36471
Jesika,Chlupáčová Dufková,509695274,50356
Anastázie,Schleiderová,139128495,40723
Laurenc,Kricner,578444538,29501
Rozina,Porteousová,910338650,79313
Radúz,Pchelina,103026268,15531
Brunhilda,Orsagová,227772785,46831
Saturnin,Werke,716064382,27209
Malvína,Sivěcová,340316244,33041
Selena,Gubányiová,981371080,67560
Ofélie,Knedlová,554370083,27724
Livie,Doutlíková Pultarová,248846859,51701
Drahotín,Georges,969445851,37401
Egona,Hyršlová Vaculová,974331675,46833
Adam,Velšar,333257353,46399
Dalimíra,Suastiková,369599234,26726
Romana,Kubrická,477591525,73944
Rozina,Missbergerová,738343338,37331
Venuše,Pleiznerová,406917308,54908
Iljana,Rődlová,702967712,76703
Mervin,Macner,181447927,29447
Horst,Mahus,736539792,69616
Vladivoj,Wochinsky,239485730,34016
Ilona,Křížková Červená,515855811,38282
Gizela,Katrňáková Balšánková,274141921,58264
Jelena,Hordějčuková,667508133,28941
Blažej,Mykhalyuk,606759757,35003
Ota,Magor,840038432,79862
Žakelína,Krajačičová,873623963,27732
Dobroslava,Légerová,699436512,26302
Serafína,Kroonenová,678040785,58231
Jolana,Braierová,575322174,74260
Leonard,Wignall,104975962,36471
Zlatomíra,Smajlovičová,489968492,66453
Arnolda,Janhubová Ehlenová,529263346,43969
Alvin,Schmieg Überall,808797909,67922
Veleslava,Dahinterová,295256754,75654
Axel,Chernenkov,403518134,75007
Šarlota,Brábníková Marešová,722453063,67534
Adelaida,Diabolková,830452668,73961
Mečislava,Kostková Michalíková,476832254,73603
Bohuslava,Kiszlingová,510526865,56965
Drahomila,Beckwithová,232412697,66462
Leoš,Fröhde,983265341,46302
Anastázie,Solohubová,424084604,67108
Laurenc,Galletti,625331020,25704
Václav,Tudos,469194890,33142
Bertold,Daubek,937789272,56204
Dluhoš,Fujikura,392866343,38432
Baltazar,Fedyk-Pelekh,241705246,34032
Voršila,Vystrková Borutová,800046030,70030
Anežka,Korošecová,352093008,77300
Ámos,Snítilý,446293274,28908
Alvar,Ujević,281451660,47151
